age,gender,household,time,ward,year
32,w,s,0-1,01,3
32,w,m,0-1,01,3
47,m,s,0-1,01,3
47,m,m,0-1,01,3
52,m,s,0-1,01,3
52,m,s,0-1,01,3
52,m,s,0-1,01,3
52,m,m,0-1,01,3
52,w,m,0-1,01,3
57,m,s,2-3,01,3
57,m,s,2-3,01,3
57,m,s,15-30,01,3
62,m,s,31-90,01,3
62,m,m,0-1,01,3
62,m,m,0-1,01,3
67,w,s,2-3,01,3
67,w,s,4-7,01,3
67,w,m,0-1,01,3
72,m,m,0-1,01,3
77,w,m,0-1,01,3
82,w,s,8-14,01,3
82,m,m,0-1,01,3
82,m,m,0-1,01,3
82,w,m,0-1,01,3
87,m,m,0-1,01,3
87,w,m,4-7,01,3
27,m,s,0-1,02,3
27,w,m,0-1,02,3
32,m,s,0-1,02,3
32,w,s,0-1,02,3
37,w,m,0-1,02,3
47,m,m,0-1,02,3
47,m,m,0-1,02,3
52,m,s,0-1,02,3
52,m,s,0-1,02,3
57,m,s,0-1,02,3
57,m,s,2-3,02,3
57,m,s,2-3,02,3
62,m,s,2-3,02,3
62,w,s,0-1,02,3
62,m,m,0-1,02,3
62,m,m,0-1,02,3
62,w,m,0-1,02,3
67,m,s,2-3,02,3
67,m,m,0-1,02,3
72,m,s,2-3,02,3
72,m,s,2-3,02,3
72,w,s,0-1,02,3
72,w,s,0-1,02,3
72,w,s,0-1,02,3
72,m,m,0-1,02,3
72,m,m,0-1,02,3
72,w,m,0-1,02,3
72,w,m,0-1,02,3
77,m,s,2-3,02,3
77,m,s,8-14,02,3
77,w,s,0-1,02,3
77,w,s,4-7,02,3
77,w,s,4-7,02,3
77,m,m,0-1,02,3
77,w,m,0-1,02,3
82,m,s,15-30,02,3
82,w,s,4-7,02,3
82,w,s,8-14,02,3
82,m,m,0-1,02,3
82,w,m,0-1,02,3
82,w,m,0-1,02,3
87,w,s,8-14,02,3
87,w,s,31-90,02,3
87,m,m,0-1,02,3
87,m,m,0-1,02,3
87,m,m,0-1,02,3
22,w,s,0-1,03,3
27,w,m,0-1,03,3
32,m,s,0-1,03,3
37,m,s,0-1,03,3
37,m,s,0-1,03,3
37,w,s,0-1,03,3
42,m,s,0-1,03,3
42,w,s,0-1,03,3
47,w,s,0-1,03,3
52,m,s,0-1,03,3
52,m,s,0-1,03,3
52,w,s,0-1,03,3
52,w,s,0-1,03,3
52,m,m,0-1,03,3
52,w,m,0-1,03,3
57,m,s,0-1,03,3
57,m,s,2-3,03,3
57,m,s,2-3,03,3
57,m,s,2-3,03,3
57,m,s,2-3,03,3
57,w,s,2-3,03,3
57,m,m,0-1,03,3
57,m,m,0-1,03,3
57,m,m,0-1,03,3
62,m,s,2-3,03,3
