"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","282","117","67","184","52","46","98"
"15歳未満","1","","1","1","","",""
"15～19歳","","","","","","",""
"20～24歳","3","2","","2","","1","1"
"25～29歳","3","","","","1","2","3"
"30～34歳","2","","","","1","1","2"
"35～39歳","5","2","","2","1","2","3"
"40～44歳","4","1","1","2","","2","2"
"45～49歳","12","4","2","6","5","1","6"
"50～54歳","11","5","5","10","","1","1"
"55～59歳","21","7","8","15","4","2","6"
"60～64歳","17","12","2","14","2","1","3"
"65～69歳","38","23","8","31","5","2","7"
"70～74歳","38","30","3","33","4","1","5"
"75～79歳","29","11","9","20","4","5","9"
"80～84歳","47","12","18","30","10","7","17"
"85歳以上","51","8","10","18","15","18","33"
"（再掲）／0～14歳","1","","1","1","","",""
"（再掲）／15～64歳","78","33","18","51","14","13","27"
"（再掲）／65歳以上","203","84","48","132","38","33","71"
"（再掲）／15歳以上","281","117","66","183","52","46","98"
