"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","341","147","75","222","69","50","119","","","","","","",""
"0～1日","148","25","62","87","18","43","61","43.4","17.0","82.7","39.2","26.1","86.0","51.3"
"2～3日","70","31","9","40","25","5","30","20.5","21.1","12.0","18.0","36.2","10.0","25.2"
"4～7日","46","30","3","33","12","1","13","13.5","20.4","4.0","14.9","17.4","2.0","10.9"
"8～14日","26","19","1","20","5","1","6","7.6","12.9","1.3","9.0","7.2","2.0","5.0"
"15～30日","27","21","","21","6","","6","7.9","14.3","","9.5","8.7","","5.0"
"31～90日","20","17","","17","3","","3","5.9","11.6","","7.7","4.3","","2.5"
"91～180日","3","3","","3","","","","0.9","2.0","","1.4","","",""
"181～365日","","","","","","","","","","","","","",""
"366日～","1","1","","1","","","","0.3","0.7","","0.5","","",""
