"年齢","総数(人)","男性／単身世帯(人)","男性／複数世帯(人)","男性／小計(人)","女性／単身世帯(人)","女性／複数世帯(人)","女性／小計(人)"
"総数","537","260","104","364","91","82","173"
"15歳未満","1","","","","","1","1"
"15～19歳","","","","","","",""
"20～24歳","6","","2","2","1","3","4"
"25～29歳","3","2","","2","1","","1"
"30～34歳","6","5","","5","1","","1"
"35～39歳","8","6","1","7","1","","1"
"40～44歳","11","4","3","7","2","2","4"
"45～49歳","26","11","11","22","2","2","4"
"50～54歳","29","18","5","23","3","3","6"
"55～59歳","35","25","4","29","2","4","6"
"60～64歳","34","27","1","28","2","4","6"
"65～69歳","77","55","10","65","6","6","12"
"70～74歳","71","35","14","49","15","7","22"
"75～79歳","70","32","15","47","12","11","23"
"80～84歳","75","26","16","42","21","12","33"
"85歳以上","85","14","22","36","22","27","49"
"（再掲）／0～14歳","1","","","","","1","1"
"（再掲）／15～64歳","158","98","27","125","15","18","33"
"（再掲）／65歳以上","378","162","77","239","76","63","139"
"（再掲）／15歳以上","536","260","104","364","91","81","172"
