"死後経過日数","総数","男性／単身世帯／実数(人)","男性／複数世帯／実数(人)","男性／小計／実数(人)","女性／単身世帯／実数(人)","女性／複数世帯／実数(人)","女性／小計／実数(人)","総数／構成比(%)","男性／単身世帯／構成比(%)","男性／複数世帯／構成比(%)","男性／小計／構成比(%)","女性／単身世帯／構成比(%)","女性／複数世帯／構成比(%)","女性／小計／構成比(%)"
"合計","148","58","32","90","35","23","58","","","","","","",""
"0～1日","58","10","23","33","6","19","25","39.7","17.2","71.9","36.7","17.1","82.6","43.1"
"2～3日","31","14","5","19","10","2","12","21.2","24.1","15.6","21.1","28.6","8.7","20.7"
"4～7日","25","13","4","17","6","2","8","17.1","22.4","12.5","18.9","17.1","8.7","13.8"
"8～14日","16","8","","8","8","","8","11.0","13.8","","8.9","22.9","","13.8"
"15～30日","10","8","","8","2","","2","6.8","13.8","","8.9","5.7","","3.4"
"31～90日","6","3","","3","3","","3","4.1","5.2","","3.3","8.6","","5.2"
"91～180日","2","2","","2","","","","1.4","3.4","","2.2","","",""
"181～365日","","","","","","","","","","","","","",""
"366日～","","","","","","","","","","","","","",""
